Substance,dH(kJ/mol),dG(kJ/mol),dS(J/mol-K)
RbClO3(s),-392.4,-292,152
Sc(s),0,0,34.6
Sc(g),377.8,336.1,174.7
H2Se(g),29.7,15.9,219
Si(s),0,0,18.7
Si(g),368.2,323.9,167.8
SiC(s),-73.22,-70.85,16.61
SiCl4(l),-640.1,-572.8,239.3
"SiO2(s, quartz)",-910.9,-856.5,41.84
Ag(s),0,0,42.55
Ag+(aq),105.9,77.11,73.93
AgCl(s),-127,-109.7,96.11
Ag2O(s),-31.05,-11.2,121.3
AgNO3(s),-124.4,-33.41,140.9
Na(s),0,0,51.45
Na(g),107.7,77.3,153.7
Na+(aq),-240.1,-261.9,59
Na+(g),609.3,574.3,148
NaBr(aq),-360.6,-364.7,141
NaBr(s),-361.4,-349.3,86.82
Na2CO3(s),-1130.9,-1047.7,136
NaCl(aq),-407.3,-409.6,115.5
NaCl(s),-410.9,-384,72.33
NaCl(g),-181.4,-201.3,229.8
NaHCO3(s),-947.7,-851.8,102.1
NaNO3(aq),-446.2,-372.4,207
NaNO3(s),-467.9,-367,116.5
NaOH(aq),-469.6,-419.2,49.8
NaOH(s),-425.6,-379.5,64.46
Na2SO4(s),-1387.1,-1270.2,149.6
SrO(g),-592,-561.9,54.9
Sr(g),164.4,110,164.6
S(s),0,0,31.88
S8(g),102.3,49.7,430.9
SO2(g),-296.9,-300.4,248.5
SO3(g),-395.2,-370.4,256.2
SO4^2-(aq),-909.3,-744.5,20.1
SOCl2(l),-245.6,N,N
H2S(g),-20.17,-33.01,205.6
H2SO4(aq),-909.3,-744.5,20.1
H2SO4(l),-814,-689.9,156.1
Ti(s),0,0,30.76
Ti(g),468,422,180.3
TiCl4(l),-804.2,-728.1,221.9
TiCl4(g),-763.2,-726.8,354.9
TiO2(s),-944.7,-889.4,50.29
V(s),0,0,28.9
V(g),514.2,453.1,182.2
Zn(s),0,0,41.63
Zn(g),130.7,95.2,160.9
ZnCl2(s),-415.1,-369.4,111
ZnO(s),-348,-318.2,43.9
